10
0.000000	15.272268	51.467362	5.127543	2.424414	14.663906	3.744630	20.026346	0.336411	16.193271	10.358448	 
13.632814	1.490326	9.166780	17.903212	0.863936	9.163517	0.929850	20.671647	2.098719	4.338775	15.141571	 
12.474442	20.735293	14.839039	11.919665	3.391536	4.867512	1.901167	18.220065	10.920930	18.066181	40.288541	 
1.485272	30.399382	85.213643	5.811062	11.139235	6.154328	6.907585	6.869501	28.679895	13.662187	15.293269	 
7.401303	4.975082	34.001291	2.151222	1.313329	3.018151	9.493759	16.623413	26.093310	22.960137	10.152181	 
12.704162	24.558969	6.854808	2.064413	19.463164	0.520877	6.003070	61.655970	7.979492	51.305550	28.719229	 
6.430570	1.403623	5.706235	4.690764	13.271463	24.295360	2.975591	12.017573	14.521415	2.403011	23.061558	 
7.073158	1.106769	0.781932	20.617687	10.026812	8.489532	30.639625	0.836628	10.589478	4.441552	5.239602	 
6.685051	8.230534	7.929381	72.078495	9.445492	2.145372	29.891106	1.325700	2.300612	1.742534	1.096571	 
40.977317	40.120895	14.324445	4.079243	9.198023	24.759234	33.058482	5.408470	4.846193	2.913793	2.997222	 
1.040219	15.819404	18.586181	4.362956	12.528104	12.194791	6.379910	4.481478	17.378590	5.260799	4.827276	
